StartDate,EndDate,Status,Progress,Duration..in.seconds.,Finished,Manager,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q1.1,Q1.2,Q1.3,Q2.1,Q2.2,Q2.3
1/28/2018 20:30,1/28/2018 20:31,8,25,21,0,Dustin,2/4/2018 20:31,R_3oR2O5GVj417Rb8,,,,,anonymous,EN,NA,1,2,1,1,1
2/5/2018 0:08,2/5/2018 0:09,0,100,53,1,Dustin,2/5/2018 0:09,R_24kfInksYNZC2Bb,,,,,anonymous,EN,2,1,1,4,5,3
2/1/2018 12:47,2/1/2018 12:48,0,0,53,0,Dustin,2/8/2018 12:49,R_2Sq8eFhNWEfZOJd,,,,,anonymous,EN,5,1,3,1,1,1
1/29/2018 10:33,1/29/2018 10:35,0,25,86,0,Dustin,2/5/2018 10:35,R_BWjnVPEG2iVgRKp,,,,,anonymous,EN,5,1,1,3,1,1
1/28/2018 21:08,1/28/2018 21:09,0,100,33,1,Dustin,1/28/2018 21:09,R_3n9rQagKRteaa0F,,,,,anonymous,EN,3,1,2,4,5,5
1/29/2018 8:11,1/29/2018 8:14,0,100,167,1,Dustin,1/29/2018 8:14,R_beYF2qSztK7r6jn,,,,,anonymous,EN,5,1,4,5,4,3
1/28/2018 19:38,1/28/2018 19:38,8,100,18,1,Dustin,1/28/2018 19:38,R_WksUtA2k9IJCTK1,,,,,anonymous,EN,3,1,5,4,1,2
1/28/2018 12:53,1/28/2018 12:54,0,100,47,1,Dustin,1/28/2018 12:54,R_YXHBf3b3ectf4mB,,,,,anonymous,EN,1,1,5,2,1,1
2/1/2018 20:09,2/1/2018 20:09,0,100,29,1,Dustin,2/1/2018 20:09,R_2dRbVfQSqWMGzYi,,,,,anonymous,EN,2,1,6,4,5,5
2/8/2018 0:40,2/8/2018 0:41,0,100,53,1,Dustin,2/8/2018 0:41,R_2t0dX20f2ENDmrG,,,,,anonymous,EN,5,1,5,3,5,2
1/29/2018 19:27,1/29/2018 19:28,0,25,95,0,Dustin,2/5/2018 19:28,R_3ekQr5b7YA639qA,,,,,anonymous,EN,3,1,3,2,1,1
2/4/2018 21:13,2/4/2018 21:15,0,100,133,1,Dustin,2/4/2018 21:15,R_2f0vtSqvBPE4bcN,,,,,anonymous,EN,6,1,6,7,7,7
1/31/2018 3:11,1/31/2018 3:12,0,100,26,1,Dustin,1/31/2018 3:12,R_3NKtABLhH5j3Nss,,,,,anonymous,EN,4,1,5,4,3,3
2/15/2018 1:52,2/15/2018 1:52,0,100,20,1,Dustin,2/15/2018 1:52,R_2aeQrWdM3pTjFld,,,,,anonymous,EN,2,1,1,2,1,4
2/11/2018 23:10,2/11/2018 23:12,0,100,115,1,Dustin,2/11/2018 23:12,R_3qsVULOvGH9eGxj,,,,,anonymous,EN,5,1,2,4,1,3
1/30/2018 12:25,1/30/2018 12:25,0,25,9,0,Dustin,2/6/2018 12:25,R_4HDQIy0BamkSSfn,,,,,anonymous,EN,4,1,2,5,4,5
2/15/2018 1:52,2/15/2018 1:52,0,100,20,1,Dustin,2/15/2018 1:52,R_2aeQrWdM3pTjFld,,,,,anonymous,EN,4,1,2,7,4,5
1/29/2018 16:58,1/29/2018 16:59,0,100,52,1,Dustin,1/29/2018 16:59,R_3kccHNAXmmfsAFD,,,,,anonymous,EN,3,1,3,5,6,6
1/31/2018 11:25,1/31/2018 11:26,0,100,15,1,Dustin,1/31/2018 11:26,R_3Oj30fPI2lA33IE,,,,,anonymous,EN,2,1,2,4,5,5
2/8/2018 0:40,2/8/2018 0:40,0,100,43,1,Dustin,2/8/2018 0:40,R_1cTk1AmSCDYE8ta,,,,,anonymous,EN,4,1,2,4,3,3
2/8/2018 0:40,2/8/2018 0:40,0,100,43,1,Dustin,2/8/2018 0:40,R_1cTk1AmSCDYE8ta,,,,,anonymous,EN,5,1,2,7,6,6
1/28/2018 19:38,1/28/2018 19:47,0,25,519,0,Dustin,2/4/2018 19:47,R_DTyFudsaiIh1tol,,,,,anonymous,EN,4,1,6,5,1,2
2/14/2018 8:26,2/14/2018 8:27,0,100,56,1,Dustin,2/14/2018 8:27,R_3jYXPyTx67QMFLv,,,,,anonymous,EN,2,1,1,2,1,1
1/28/2018 19:38,1/28/2018 19:47,0,25,519,0,Dustin,2/4/2018 19:47,R_DTyFudsaiIh1tol,,,,,anonymous,EN,1,1,2,2,1,2
2/8/2018 0:40,2/8/2018 0:40,0,100,43,1,Dustin,2/8/2018 0:40,R_1cTk1AmSCDYE8ta,,,,,anonymous,EN,6,1,5,3,4,3
2/17/2018 13:56,2/17/2018 13:57,0,100,35,1,Dustin,2/17/2018 13:57,R_1QbVqlU5kNt5aDp,,,,,anonymous,EN,1,1,1,2,3,1
1/30/2018 21:16,1/30/2018 21:17,8,100,36,1,Dustin,1/30/2018 21:17,R_1RklC9pPtvej50B,,,,,anonymous,EN,3,1,3,1,2,1
2/4/2018 21:13,2/4/2018 21:15,0,100,133,1,Dustin,2/4/2018 21:15,R_2f0vtSqvBPE4bcN,,,,,anonymous,EN,2,1,1,4,5,4
2/7/2018 15:54,2/7/2018 15:55,0,100,28,1,Dustin,2/7/2018 15:55,R_2QYeEZsZwFfm09L,,,,,anonymous,EN,3,1,2,4,1,6
2/15/2018 21:03,2/15/2018 21:04,0,100,69,1,Dustin,2/15/2018 21:04,R_C3W416AyU1blVn3,,,,,anonymous,EN,1,1,2,6,5,6
1/29/2018 8:11,1/29/2018 8:14,0,100,167,1,Dustin,1/29/2018 8:14,R_beYF2qSztK7r6jn,,,,,anonymous,EN,3,1,2,3,3,3
2/8/2018 23:05,2/8/2018 23:06,0,100,62,1,Dustin,2/8/2018 23:06,R_1f3YBcpZDHtrhLA,,,,,anonymous,EN,1,1,1,2,3,2
1/30/2018 12:25,1/30/2018 12:25,0,25,9,0,Dustin,2/6/2018 12:25,R_4HDQIy0BamkSSfn,,,,,anonymous,EN,4,1,2,3,5,3
1/30/2018 12:25,1/30/2018 12:25,0,25,9,0,Dustin,2/6/2018 12:25,R_4HDQIy0BamkSSfn,,,,,anonymous,EN,2,1,3,6,4,6
2/7/2018 15:55,2/7/2018 15:56,0,100,46,1,Dustin,2/7/2018 15:56,R_1Q4vQpVOdCL7OnV,,,,,anonymous,EN,4,1,2,4,5,4
2/5/2018 17:02,2/5/2018 17:03,0,100,38,1,Dustin,2/5/2018 17:03,R_1PdaTuRsr1rPnBA,,,,,anonymous,EN,4,1,6,5,5,3
2/12/2018 13:21,2/12/2018 13:22,0,100,29,1,Dustin,2/12/2018 13:22,R_271ZulZgiMA5R1h,,,,,anonymous,EN,5,1,6,4,5,4
2/15/2018 1:52,2/15/2018 1:52,0,100,20,1,Dustin,2/15/2018 1:52,R_2aeQrWdM3pTjFld,,,,,anonymous,EN,4,1,3,2,1,1
2/8/2018 0:42,2/8/2018 0:44,0,100,116,1,Dustin,2/8/2018 0:44,R_31ux4oLnM7eEuiY,,,,,anonymous,EN,3,1,2,5,5,5
2/8/2018 0:42,2/8/2018 0:44,0,100,116,1,Dustin,2/8/2018 0:44,R_31ux4oLnM7eEuiY,,,,,anonymous,EN,7,1,2,6,7,6
1/29/2018 21:58,1/29/2018 21:59,0,100,40,1,Dustin,1/29/2018 21:59,R_1hZjEwmVNN5e47u,,,,,anonymous,EN,2,1,1,4,5,5
1/28/2018 19:36,1/28/2018 19:37,0,100,57,1,Dustin,1/28/2018 19:37,R_3r3cmPLu339GQc8,,,,,anonymous,EN,1,1,2,1,1,1
1/29/2018 16:58,1/29/2018 16:59,0,100,52,1,Dustin,1/29/2018 16:59,R_3kccHNAXmmfsAFD,,,,,anonymous,EN,4,1,2,3,5,1
2/12/2018 23:03,2/12/2018 23:03,0,100,38,1,Dustin,2/12/2018 23:03,R_z2Qf3abf6MgNvXz,,,,,anonymous,EN,4,1,5,2,7,2
2/12/2018 14:15,2/12/2018 14:16,0,100,28,1,Dustin,2/12/2018 14:16,R_1fe0FlHunJczqfq,,,,,anonymous,EN,1,1,1,1,1,1
2/7/2018 21:01,2/7/2018 21:01,0,100,32,1,Dustin,2/7/2018 21:01,R_81zEKkqAdZHiE49,,,,,anonymous,EN,3,1,1,4,5,5
1/31/2018 14:11,1/31/2018 14:11,0,100,26,1,Dustin,1/31/2018 14:11,R_26lroRej1NMq0fU,,,,,anonymous,EN,5,1,2,3,1,4
1/29/2018 21:58,1/29/2018 21:59,0,100,40,1,Dustin,1/29/2018 21:59,R_1hZjEwmVNN5e47u,,,,,anonymous,EN,2,1,3,3,5,4
