nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0290358,Richard Francis-Bruce,1948,NA,"editor,editorial_department,camera_department","tt0117500,tt0118571,tt0097162,tt0114369"
nm0000209,Tim Robbins,1958,NA,"actor,producer,director","tt0094812,tt0327056,tt0105151,tt0111161"
nm0000151,Morgan Freeman,1937,NA,"actor,producer,soundtrack","tt0097239,tt0405159,tt0114369,tt1057500"
nm0348409,Bob Gunton,1945,NA,"actor,soundtrack","tt3322312,tt0285331,tt0111161,tt3305388"
nm0006669,William Sadler,1950,NA,"actor,soundtrack,director","tt0111161,tt0099423,tt0101452,tt0884328"
nm0001104,Frank Darabont,1959,NA,"writer,producer,director","tt0120689,tt0111161,tt1520211,tt0884328"
nm0000175,Stephen King,1947,NA,"writer,producer,actor","tt0091499,tt0111161,tt0100157,tt0083767"
nm0555550,Niki Marvin,NA,NA,"producer,director,writer","tt0100146,tt4337004,tt0111161,tt0093629"
nm0002353,Thomas Newman,1955,NA,"music_department,composer,soundtrack","tt0169547,tt0910970,tt1074638,tt1454029"
nm0005683,Roger Deakins,1949,NA,"cinematographer,camera_department,miscellaneous","tt0116282,tt1856101,tt0477348,tt1074638"
nm0746273,Charles Roven,1949,NA,"producer,executive,actor","tt0468569,tt0770828,tt1800241,tt0451279"
nm0000288,Christian Bale,1974,NA,"actor,editorial_department,producer","tt1800241,tt0372784,tt0468569,tt6266538"
nm0005132,Heath Ledger,1979,2008,"actor,director,soundtrack","tt0468569,tt0183790,tt0147800,tt0388795"
nm0001173,Aaron Eckhart,1968,NA,"actor,producer,soundtrack","tt0427944,tt0298814,tt0468569,tt0119361"
nm0000323,Michael Caine,1933,NA,"actor,producer,soundtrack","tt0468569,tt0258068,tt0124315,tt0482571"
nm0634240,Christopher Nolan,1970,NA,"writer,producer,director","tt5013056,tt0482571,tt1375666,tt0816692"
nm0634300,Jonathan Nolan,1976,NA,"writer,producer,director","tt0482571,tt0816692,tt0468569,tt0209144"
nm0333060,David S. Goyer,1965,NA,"writer,producer,director","tt0468569,tt0372784,tt2975590,tt0118929"
nm0004170,Bob Kane,1915,1998,"writer,miscellaneous,art_department","tt0372784,tt0468569,tt0096895,tt0106364"
nm0650038,Lorne Orleans,NA,NA,"producer,production_manager,miscellaneous","tt0121765,tt0434409,tt0418279,tt0409459"
nm0245596,Guy Hendrix Dyas,1968,NA,"art_department,production_designer,visual_effects","tt1375666,tt2080374,tt5523010,tt1355644"
nm0000138,Leonardo DiCaprio,1974,NA,"actor,producer,writer","tt0993846,tt0120338,tt0407887,tt1375666"
nm0330687,Joseph Gordon-Levitt,1981,NA,"actor,producer,soundtrack","tt1306980,tt2229499,tt1276104,tt1375666"
nm0680983,Ellen Page,1987,NA,"actress,producer,soundtrack","tt1877832,tt1375666,tt0467406,tt0424136"
nm0913822,Ken Watanabe,1959,NA,"actor,producer,director","tt0831387,tt0325710,tt3741700,tt1375666"
nm0858799,Emma Thomas,NA,NA,"producer,miscellaneous,actress","tt1375666,tt5013056,tt0154506,tt0468569"
nm0001877,Hans Zimmer,1957,NA,"music_department,composer,soundtrack","tt0816692,tt0172495,tt1375666,tt5013056"
nm0002892,Wally Pfister,1961,NA,"cinematographer,camera_department,director","tt0372784,tt0482571,tt1375666,tt0468569"
nm0809059,Lee Smith,1960,NA,"editor,sound_department,editorial_department","tt5013056,tt0816692,tt1375666,tt0468569"
nm0513165,Art Linson,1942,NA,"producer,writer,director","tt0758758,tt0119051,tt0137523,tt0094226"
nm0000093,Brad Pitt,1963,NA,"actor,producer,soundtrack","tt0114746,tt1210166,tt0421715,tt0356910"
nm0001570,Edward Norton,1969,NA,"actor,producer,writer","tt2562232,tt0117381,tt0120586,tt0171433"
nm0001533,Meat Loaf,1947,NA,"actor,soundtrack,producer","tt0383222,tt0227984,tt0073629,tt0137523"
nm0340260,Zach Grenier,1954,NA,"actor,soundtrack","tt0285331,tt0137523,tt1442462,tt0348914"
nm0000399,David Fincher,1962,NA,"director,producer,actor","tt1285016,tt2267998,tt0443706,tt0114369"
nm0657333,Chuck Palahniuk,1962,NA,"writer,actor,producer","tt4546372,tt1024715,tt0137523,tt1773686"
nm0880243,Jim Uhls,1957,NA,"writer,producer,actor","tt0137523,tt2082453,tt0489099,tt4546514"
nm0068501,Ross Grayson Bell,NA,NA,"producer,writer,director","tt0100789,tt0137523,tt0167205,tt0164212"
nm0149556,Ceán Chaffin,1957,NA,"producer,cinematographer","tt0443706,tt1285016,tt0421715,tt2267998"
nm0913300,David Wasco,NA,NA,"production_designer,art_department,actor","tt3783958,tt0361748,tt0266697,tt0369339"
nm0000237,John Travolta,1954,NA,"actor,soundtrack,producer","tt0113161,tt0185183,tt0427327,tt0119094"
nm0000235,Uma Thurman,1970,NA,"actress,soundtrack,producer","tt0266697,tt0378194,tt0110912,tt0118688"
nm0000168,Samuel L. Jackson,1948,NA,"actor,producer,soundtrack","tt3460252,tt0417148,tt0119396,tt0110912"
nm0000246,Bruce Willis,1955,NA,"actor,soundtrack,producer","tt0095016,tt0110912,tt0088571,tt0167404"
nm0000233,Quentin Tarantino,1963,NA,"writer,actor,producer","tt0116367,tt0110912,tt3460252,tt0105236"
nm0000812,Roger Avary,1965,NA,"producer,writer,director","tt0110265,tt0292644,tt7248248,tt0110912"
nm0004744,Lawrence Bender,1957,NA,"producer,camera_department,actor","tt0105236,tt0110912,tt0361748,tt0266697"
nm0782900,Andrzej Sekula,1954,NA,"cinematographer,director,producer","tt0144084,tt0285492,tt0110912,tt0105236"
nm0579673,Sally Menke,1953,2010,"editor,producer,sound_department","tt0378194,tt0266697,tt0110912,tt0361748"
nm0005494,Steve Tisch,1949,NA,"producer,actor,miscellaneous","tt0109830,tt0454921,tt0119925,tt0814314"
nm0000158,Tom Hanks,1956,NA,"producer,actor,soundtrack","tt0162222,tt0120815,tt0094737,tt0109830"
nm0000705,Robin Wright,1966,NA,"actress,producer,director","tt0093779,tt0442933,tt0109830,tt0217869"
nm0000641,Gary Sinise,1955,NA,"actor,producer,director","tt0105046,tt0117438,tt0109830,tt0112384"
nm0000398,Sally Field,1946,NA,"actress,producer,soundtrack","tt0098384,tt0076729,tt0109830,tt0443272"
nm0000709,Robert Zemeckis,1951,NA,"producer,writer,director","tt0118884,tt0109830,tt0088763,tt1907668"
nm0343165,Winston Groom,1944,NA,"writer,actor","tt9055820,tt0109830,tt10028196,tt0156812"
nm0744839,Eric Roth,1945,NA,"producer,writer,actor","tt0140352,tt0421715,tt0408306,tt0109830"
nm0277704,Wendy Finerman,1961,NA,producer,"tt0109830,tt0116277,tt0303933,tt1598828"
nm0823330,Steve Starkey,NA,NA,"producer,assistant_director,editorial_department","tt1907668,tt0118884,tt0162222,tt0109830"
nm0322513,Iain Glen,1961,NA,"actor,producer,soundtrack","tt0944947,tt0432021,tt0146316,tt2592614"
nm3592338,NA,NA,NA,NA,NA
nm0227759,Peter Dinklage,1969,NA,"actor,producer,soundtrack","tt0340377,tt0944947,tt5027774,tt1877832"
nm3229685,Kit Harington,1986,NA,"actor,writer,producer","tt1646971,tt0944947,tt0938330,tt1921064"
nm0372176,Lena Headey,1973,NA,"actress,soundtrack,producer","tt1374989,tt0944947,tt0416449,tt1343727"
nm1125275,David Benioff,1970,NA,"writer,producer,director","tt0944947,tt0419887,tt0458525,tt0307901"
nm1888967,D.B. Weiss,1971,NA,"writer,producer,director","tt7974630,tt7163588,tt0944947,tt3677548"
nm3849842,Sophie Turner,1996,NA,actress,"tt3385516,tt1731701,tt6565702,tt0944947"
nm3586035,NA,NA,NA,NA,NA
nm0182666,Nikolaj Coster-Waldau,1970,NA,"actor,producer,writer","tt2404233,tt0944947,tt0110631,tt1483013"
nm0821205,Zach Staenberg,1954,NA,"editor,editorial_department,producer","tt0133093,tt1637688,tt0399295,tt1731141"
nm0000206,Keanu Reeves,1964,NA,"actor,producer,soundtrack","tt0133093,tt0111257,tt0234215,tt0102685"
nm0000401,Laurence Fishburne,1961,NA,"actor,producer,director","tt0133093,tt1598778,tt0234215,tt0242653"
nm0005251,Carrie-Anne Moss,1967,NA,"actress,producer","tt0133093,tt0457572,tt0209144,tt0242653"
nm0915989,Hugo Weaving,1960,NA,"actor,soundtrack,producer","tt0120737,tt0133093,tt0167260,tt0434409"
nm0905154,Lana Wachowski,1965,NA,"writer,producer,director","tt1371111,tt1617661,tt0133093,tt0115736"
nm0905152,Lilly Wachowski,1967,NA,"writer,producer,director","tt0115736,tt1617661,tt1371111,tt0133093"
nm0005428,Joel Silver,1952,NA,"producer,actor,miscellaneous","tt0093773,tt1037705,tt0098206,tt0102070"
nm0204485,Don Davis,1957,NA,"composer,music_department,soundtrack","tt0242653,tt0133093,tt0163025,tt0234215"
nm0691084,Bill Pope,1952,NA,"cinematographer,director,camera_department","tt0115736,tt0133093,tt3040964,tt0316654"
nm0761744,Tim Sanders,NA,NA,"producer,production_manager,location_management","tt0298228,tt0116365,tt0403407,tt0120737"
nm0000704,Elijah Wood,1981,NA,"actor,producer,soundtrack","tt0120737,tt0167260,tt0107034,tt0167261"
nm0005212,Ian McKellen,1939,NA,"actor,soundtrack,writer","tt0167261,tt0167260,tt0120737,tt0120684"
