tconst,nconst,category,job,characters
tt0111161,nm0290358,editor,NA,NA
tt0111161,nm0000209,actor,NA,"[""Andy Dufresne""]"
tt0111161,nm0000151,actor,NA,"[""Ellis Boyd 'Red' Redding""]"
tt0111161,nm0348409,actor,NA,"[""Warden Norton""]"
tt0111161,nm0006669,actor,NA,"[""Heywood""]"
tt0111161,nm0001104,director,NA,NA
tt0111161,nm0000175,writer,"short story ""Rita Hayworth and Shawshank Redemption""",NA
tt0111161,nm0555550,producer,producer,NA
tt0111161,nm0002353,composer,NA,NA
tt0111161,nm0005683,cinematographer,director of photography,NA
tt0468569,nm0746273,producer,producer,NA
tt0468569,nm0000288,actor,NA,"[""Bruce Wayne""]"
tt0468569,nm0005132,actor,NA,"[""Joker""]"
tt0468569,nm0001173,actor,NA,"[""Harvey Dent""]"
tt0468569,nm0000323,actor,NA,"[""Alfred""]"
tt0468569,nm0634240,director,NA,NA
tt0468569,nm0634300,writer,screenplay,NA
tt0468569,nm0333060,writer,story,NA
tt0468569,nm0004170,writer,characters,NA
tt0468569,nm0650038,producer,producer,NA
tt1375666,nm0245596,production_designer,NA,NA
tt1375666,nm0000138,actor,NA,"[""Cobb""]"
tt1375666,nm0330687,actor,NA,"[""Arthur""]"
tt1375666,nm0680983,actress,NA,"[""Ariadne""]"
tt1375666,nm0913822,actor,NA,"[""Saito""]"
tt1375666,nm0634240,director,NA,NA
tt1375666,nm0858799,producer,producer,NA
tt1375666,nm0001877,composer,NA,NA
tt1375666,nm0002892,cinematographer,director of photography,NA
tt1375666,nm0809059,editor,NA,NA
tt0137523,nm0513165,producer,producer,NA
tt0137523,nm0000093,actor,NA,"[""Tyler Durden""]"
tt0137523,nm0001570,actor,NA,"[""The Narrator""]"
tt0137523,nm0001533,actor,NA,"[""Robert 'Bob' Paulsen""]"
tt0137523,nm0340260,actor,NA,"[""Richard Chesler""]"
tt0137523,nm0000399,director,NA,NA
tt0137523,nm0657333,writer,novel,NA
tt0137523,nm0880243,writer,screenplay,NA
tt0137523,nm0068501,producer,producer,NA
tt0137523,nm0149556,producer,producer,NA
tt0110912,nm0913300,production_designer,NA,NA
tt0110912,nm0000237,actor,NA,"[""Vincent Vega""]"
tt0110912,nm0000235,actress,NA,"[""Mia Wallace""]"
tt0110912,nm0000168,actor,NA,"[""Jules Winnfield""]"
tt0110912,nm0000246,actor,NA,"[""Butch Coolidge""]"
tt0110912,nm0000233,director,NA,NA
tt0110912,nm0000812,writer,stories by,NA
tt0110912,nm0004744,producer,producer,NA
tt0110912,nm0782900,cinematographer,NA,NA
tt0110912,nm0579673,editor,NA,NA
tt0109830,nm0005494,producer,producer,NA
tt0109830,nm0000158,actor,NA,"[""Forrest Gump""]"
tt0109830,nm0000705,actress,NA,"[""Jenny Curran""]"
tt0109830,nm0000641,actor,NA,"[""Lieutenant Dan Taylor""]"
tt0109830,nm0000398,actress,NA,"[""Mrs. Gump""]"
