tconst,averageRating,numVotes
tt0111161,9.3,2126772
tt0468569,9,2091591
tt1375666,8.8,1864811
tt0137523,8.8,1700063
tt0110912,8.9,1667158
tt0109830,8.8,1635876
tt0944947,9.4,1579881
tt0133093,8.7,1530391
tt0120737,8.8,1528603
tt0167260,8.9,1512993
tt1345836,8.4,1402240
tt0167261,8.7,1368376
tt0816692,8.6,1321745
tt0114369,8.6,1306363
tt0172495,8.5,1227849
tt0372784,8.2,1207628
tt0848228,8,1195862
tt0102926,8.6,1151302
tt0361748,8.3,1140714
tt0076759,8.6,1133847
tt0120815,8.6,1126785
tt0108052,8.9,1103742
tt0407887,8.5,1089298
tt0482571,8.5,1079876
tt0080684,8.7,1064880
tt0499549,7.8,1055350
tt0993846,8.2,1051507
tt0209144,8.4,1041228
tt0120689,8.6,1032008
tt1130884,8.1,1020011
tt0169547,8.3,999330
tt0325980,8,971596
tt0120338,7.8,968227
tt2015381,8.1,965513
tt0120586,8.5,961524
tt0434409,8.2,960957
tt0088763,8.5,950690
tt0110413,8.6,939934
tt0103064,8.5,919393
tt0099685,8.7,918812
tt0266697,8.1,918812
tt0910970,8.4,918761
tt0114814,8.5,917723
tt0112573,8.3,899721
tt0266543,8.1,878560
tt0371746,7.9,876942
tt0086190,8.3,871799
tt1049413,8.2,857811
tt0110357,8.5,856784
tt0167404,8.1,852913
tt0120382,8.1,849194
tt0073486,8.7,841690
tt0105236,8.3,839000
tt0338013,8.3,834538
tt1431045,8,833339
tt0082971,8.4,822505
tt0114709,8.3,810066
tt1392170,7.2,800925
tt1520211,8.3,795704
tt0081505,8.4,794105
tt0107290,8.1,792658
tt2488496,8,791653
tt1392190,8.1,791619
tt0268978,8.2,779662
tt0119217,8.3,778146
tt0477348,8.1,776224
tt0198781,8,749848
tt0088247,8,738305
tt0264464,8.1,731641
tt0095016,8.2,727717
tt0208092,8.3,726394
tt0078748,8.4,723463
tt1475582,9.1,722623
tt0401792,8,718388
tt1454468,7.7,717634
tt0180093,8.3,707962
tt0246578,8,703822
tt1201607,8.1,699815
tt4154756,8.5,699349
tt0416449,7.7,697068
tt0435761,8.3,696746
tt0108778,8.9,695473
